bl_code,name, size , uom ,quantity
BB11R08,Acai Instant Volume Thermal Root Lift, 6.7oz , pump bottle ,110
BB11P05,Acai Professional Anti Residue Shampoo, 1 L , bottle ,347
BB11P16,Professional Smoothing Solution, 12 oz , bottle ,294
BB11P19,Professional Split End repair, 24oz , bottle ,24
BB11P44,Deep Conditioning Masque, 24 oz , bottle ,318
BB11R01,Acai Anti Frizz Shampoo, 12 oz , bottle ,361
BB11R02,Acai Anti Frizz Conditioner, 12 oz , bottle ,453
BB11R03,Acai Daily Smoothing Serum, 8 oz , tube ,703
BB11R04,Acai Deep Conditioning Masque, 8 oz , tube ,548
BB11R05,Acai Restorative Sculpt & Define Polish, 2 oz , canister ,98
BB11R06,Acai Shine & Shield Spray Shine, 4oz , Spray bottle ,225
BB11R10,Acai Brazilian Dry Oil, 100 mL , -   ,48
BB11R16,Volume Conditioner, 12 oz. , bottle ,24
BB11R18,Instant Volume Body Boost Hair Powder, 13 oz. , bottle ,92
BBM,Brazilian Blowout Mini, -   , pack ,15
BBM,Brazilian Blowout Mini, -   , pc ,1
BBPP200,Single Serve Sachets Original Professional Smoothing Solution 4pk, -   , pack ,42
