status_code,field,prefix,suffix,count
['SALES_ORDER_CREATED'],sono,SO,2014,1
['PACKING_CREATED,pckno'],PACK,2014,1
['DELIVERY_RECEIPT_APPROVED'],drno,DR,2014,1
['SALES_INVOICE_APPROVED'],sino,SI,2014,1
['TRIP_TICKET_CREATED'],trpno,TRIP,2014,1
['RETURN_CREATED'],rmrno,RMR,2014,1
['MEMO_APPROVED'],cmno,CRDT,2014,1
['PAYMENT_CREATED','PAYMENT_PARTIALED'],pmno,PYMT,2014,1
['PROFORMA_INVOICE_CREATED'],pfno,PRFM,2014,1
['CONSIGNED_ORDER_CREATED'],cono,CO,2014,1
['ADJUSTMENT_CREATED'],adjno,ADJ,2014,1
['SHIPMENT_CREATED'],shipno,SHIP,2014,1
['PURCHASE_CREATED'],purno,PCHS,2014,1
['CONSIGN_DELIVERY_RECEIPT_APPROVED'],cdrno,CDR,2014,1
['CDS_CREATED'],cdsno,CDS,2014,1
['SCHEDULE_CREATED'],schno,SCH,2014,1
['CYCLE_CREATED'],cycno,CYC,2014,1
['PROMO_CREATED'],promono,PROMO,2014,1
['MERGE_CREATED'],mino,MI,2014,1
