group,name,route
"Users","Add User","/user/add"
"Users","Edit User","/user/edit"
"Users","View User","/user/read"
"Users","Manage User","/user/index"
"Customers","Manage Customer","/customer/index"
"Customers","Add Customer","/customer/add"
"Customers","Edit Customer","/customer/edit"
"Customers","View Customer","/customer/read"
"Customers","Approve Customer","/customer/approve"
"Products","Manage Products","/product/index"
"Products","Add Product","/product/add"
"Products","Edit Product","/product/edit"
"Products","View Product","/product/read"f
"Products","Approve Product","/product/approve"
"Sales Order","Manage Sales Order","/sales/index/order"
"Sales Order","View Sales Order","/sales/order/read"
"Sales Order","Add Sales Order","/sales/order/add"
"Sales Order","Edit Sales Order","/sales/order/edit"
"Sales Order","Delete Sales Order","/sales/order/delete"
"Sales Order","Approve Sales Order","/sales/order/approve"
"Sales Order","Manage Sales Order Override Approval","/sales/index/override"
"Sales Proforma","Manage Sales Proforma","/sales/index/proforma"
"Sales Proforma","Add Sales Proforma","/sales/proforma/add"
"Sales Proforma","Edit Sales Proforma","/sales/proforma/edit"
"Sales Proforma","View Sales Proforma","/sales/proforma/read"
"Sales Proforma","Approve Sales Proforma","/sales/proforma/approve"
"Sales Delivery","Manage Sales Delivery","/sales/index/delivery"
"Sales Delivery","View Sales Delivery","/sales/delivery/read"
"Sales Delivery","Approve Sales Delivery","/sales/delivery/approve"
"Sales Invoice","Manage Sales Invoice","/sales/index/invoice"
"Sales Invoice","View Sales Invoice","/sales/invoice/read"
"Sales Invoice","Approve Sales Invoice","/sales/invoice/approve"
"Sales Payment","Manage Sales Payment","/sales/index/payment"
"Sales Payment","Add Sales Payment","/sales/payment/create"
"Sales Payment","View Sales Payment","/sales/payment/read"
"Sales Payment","Update Sales Payment","/sales/payment/update"
"Sales Payment","Approve Sales Payment","/sales/payment/approve"
"Sales Return","Manage Sales Return","/sales/index/return"
"Sales Return","Add Sales Return","/sales/return/create"
"Sales Return","View Sales Return","/sales/return/read"
"Sales Return","Approve Sales Return","/sales/return/approve"
"Sales Return","Manage Approved Sales Return","/sales/index/approveReturn"
"Sales Memo","Manage Sales Memo","/sales/index/memo"
"Sales Memo","View Sales Memo","/sales/memo/read"
"Sales Memo","Approve Sales Memo","/sales/memo/approve"
"Consignment","Manage Consignment Order","/consignment/index/order"
"Consignment","Add Consignment Order","/consignment/order/add"
"Consignment","Edit Consignment Order","/consignment/order/edit"
"Consignment","View Consignment Order","/consignment/order/read"
"Consignment","Reschedule Consignment Order","/consignment/order/reschedule"
"Consignment","Manage Consignment Order Approve","/consignment/index/approval"
"Consignment","Approve Consignment Order","/consignment/order/approve"
"Consignment","Manage Consignment Delivery","/consignment/index/delivery"
"Consignment","View Consignment Delivery","/consignment/delivery/read"
"Consignment","Approve Consignment Delivery","/consignment/delivery/approve"
"Consignment","Manage Consignment Picklist","/consignment/index/packing"
