position_name,position_description
Developer,ERP Developer
President/CEO," ""Full Access"""
HR Manager," ""Full HR Access"""
Accounting Manager," ""Full Accounting Access"""
Accounting Staff," ""Limited Access"""
Sales Manager," ""Full Sales Access"""
Sales Executive," ""Limited Access"""
Sales Assistant," ""Limited Access"""
Administrator," ""Full Access"""
Warehouse Manager," ""Full Warehouse Access"""
Warehouse Supervisor," ""Power User"""
Warehouse Staff," ""Limited Access"""
Educator," ""Limited Access"""
