bl_code,brand,name,size,color,uom,part_number,payment_term,description,supplier_code,movement,supplier,family,international_cost,retail_price,professional_price,status,inventory_location,qty
IBATK.C,Salon Solutions,IBD Acrylic Trial Kit,,,piece,SSIBATKPNO,Cash,For Cancellation,---,C,,IBD,,,300,For Cancellation,BLPI - Dasma,0
IBSGK.C,Salon Solutions,IBD Soak Off Gel Kit,,,piece,SSIBSGKPNO,Cash,For Cancellation,---,C,,IBD,,,1200,For Cancellation,BLPI - Dasma,0
IBPGK.C,Salon Solutions,IBD Professional Gel Kit,,,piece,SSIBPGKPNO,Cash,For Cancellation,---,C,,IBD,,,1900,For Cancellation,BLPI - Dasma,0
IBPREP1.C,Salon Solutions,IBD Nail Prep Spray,118ml,,piece,SSIBPREPPNO1,Cash,For Cancellation,---,C,,IBD,,,150,For Cancellation,BLPI - Dasma,0
IBPREP2.C,Salon Solutions,IBD Nail Prep Refill,473ml,,piece,SSIBPREPPNO2,Cash,For Cancellation,---,C,,IBD,,,320,For Cancellation,BLPI - Dasma,0
IBDHY.C,Salon Solutions,IBD Dehydrate,14ml,,piece,SSIBDHYPNO,Cash,For Cancellation,---,C,,IBD,,,120,For Cancellation,BLPI - Dasma,0
IBPB.C,Salon Solutions,IBD Prime Bonder,14ml,,piece,SSIBPBPNO,Cash,For Cancellation,---,C,,IBD,,,300,For Cancellation,BLPI - Dasma,0
IBSP.C,Salon Solutions,IBD Stick Primer,14ml,,piece,SSIBSPPNO,Cash,For Cancellation,---,C,,IBD,,,220,For Cancellation,BLPI - Dasma,0
IBNNP.C,Salon Solutions,IBD Natural Nail Primer,14ml,,piece,SSIBNNPPNO,Cash,For Cancellation,---,C,,IBD,,,150,For Cancellation,BLPI - Dasma,0
IBFGC1.C,Salon Solutions,IBD Flexible Gel Clear,113ml,,piece,SSIBFGCPNO1,Cash,For Cancellation,---,C,,IBD,,,800,For Cancellation,BLPI - Dasma,0
IBFGC2.C,Salon Solutions,IBD Flexible Gel Clear,226g,,piece,SSIBFGCPNO2,Cash,For Cancellation,---,C,,IBD,,,1700,For Cancellation,BLPI - Dasma,0
IBINT.C,Salon Solutions,IBD Intense Seal No Wipe UV Top Coat,,,piece,SSIBINTPNO,Cash,For Cancellation,---,C,,IBD,,,390,For Cancellation,BLPI - Dasma,0
IBUS.C,Salon Solutions,IBD Ultra Seal,14ml,,piece,SSIBUSPNO,Cash,For Cancellation,---,C,,IBD,,,300,For Cancellation,BLPI - Dasma,0
IBABTC.C,Salon Solutions,IBD Acrylic Bright Top Coat,14ml,,piece,SSIBABTCPNO,Cash,For Cancellation,---,C,,IBD,,,120,For Cancellation,BLPI - Dasma,0
IBFDUVTC.C,Salon Solutions,IBD Fast Dry UV Top Coat,14ml,,piece,SSIBFDUVTCPNO,Cash,For Cancellation,---,C,,IBD,,,190,For Cancellation,BLPI - Dasma,0
IBADTC.C,Salon Solutions,IBD Air Dry Top Coat,14ml,,piece,SSIBADTCPNO,Cash,For Cancellation,---,C,,IBD,,,120,For Cancellation,BLPI - Dasma,0
IBBLN.C,Salon Solutions,IBD Blends Tip Blender,14ml,,piece,SSIBBLNPNO,Cash,For Cancellation,---,C,,IBD,,,150,For Cancellation,BLPI - Dasma,0
IBLCO.C,Salon Solutions,IBD Lavender Cuticle Oil,,,piece,SSIBLCOPNO,Cash,For Cancellation,---,C,,IBD,,,160,For Cancellation,BLPI - Dasma,0
IBRCON.C,Salon Solutions,IBD Reconstrux Nail Growth Formula,,,piece,SSINRCONPNO,Cash,For Cancellation,---,C,,IBD,,,190,For Cancellation,BLPI - Dasma,0
IBNW.C,Salon Solutions,IBD Nail Wipes,,,piece,SSIBNWPNO,Cash,For Cancellation,---,C,,IBD,,,100,For Cancellation,BLPI - Dasma,0
BRA1.2C,Salon Solutions,Acrylic Brush #2,,Pink,piece,SSBRAPNO1,Cash,For Cancellation,NA232,C,Qianse,Acrylic,1.1,,80,For Cancellation,BLPI - Dasma,0
BRA1.4C,Salon Solutions,Acrylic Brush #4,,Pink,piece,SSBRAPNO2,Cash,For Cancellation,NA233,C,Qianse,Acrylic,1.25,,80,For Cancellation,BLPI - Dasma,0
BRA1.6C,Salon Solutions,Acrylic Brush #6,,Pink,piece,SSBRAPNO3,Cash,For Cancellation,NA234,C,Qianse,Acrylic,1.35,,80,For Cancellation,BLPI - Dasma,0
BRA2.2C,Salon Solutions,Professional Acrylic Brush no. 2,,Pink,piece,SSBRAPNO4,Cash,For Cancellation,AGB-77,C,Auparis,Acrylic,1,,80,For Cancellation,BLPI - Dasma,0
BRA2.4C,Salon Solutions,Professional Acrylic Brush no. 4,,Pink,piece,SSBRAPNO5,Cash,For Cancellation,AGB-77,C,Auparis,Acrylic,1,,80,For Cancellation,BLPI - Dasma,0
