zipcode,province,area
2922,Ilocos Norte,Adams
2916,Ilocos Norte,Bacarra
2904,Ilocos Norte,Badoc
2920,Ilocos Norte,Bangui
2906,Ilocos Norte,Batac
2918,Ilocos Norte,Burgos
2911,Ilocos Norte,Carasi
2903,Ilocos Norte,Currimao
2913,Ilocos Norte,Dingras
2921,Ilocos Norte,Dumalneg
2908,Ilocos Norte,EsFpiritu
2900,Ilocos Norte,Laoag
2907,Ilocos Norte,Marcos
2909,Ilocos Norte,Nueva Era
2919,Ilocos Norte,Pagudpud
2902,Ilocos Norte,Paoay
2917,Ilocos Norte,Pasuquin
2912,Ilocos Norte,Piddig
2905,Ilocos Norte,Pinili
2901,Ilocos Norte,San Nicolas
2914,Ilocos Norte,Sarrat
2910,Ilocos Norte,Solsona
2915,Ilocos Norte,Vintar
2716,Ilocos Sur,Alilem
2708,Ilocos Sur,Banayoyo
2727,Ilocos Sur,Bantay
2724,Ilocos Sur,Burgos
2732,Ilocos Sur,Cabugao
2710,Ilocos Sur,Candon
2702,Ilocos Sur,Caoayan
2718,Ilocos Sur,Cervantes
2709,Ilocos Sur,Galimuyod
2720,Ilocos Sur,Gregorio del Pilar
2723,Ilocos Sur,Lidlida
2730,Ilocos Sur,Magsingkil
2725,Ilocos Sur,Nagbukel
2704,Ilocos Sur,Narvacan
2721,Ilocos Sur,Quirino
2711,Ilocos Sur,Salcedo
2722,Ilocos Sur,San Emilio
2706,Ilocos Sur,San Esteban
2728,Ilocos Sur,San Ildefonso
2731,Ilocos Sur,San Juan
2726,Ilocos Sur,San Vicente
2703,Ilocos Sur,Santa
2701,Ilocos Sur,Santa Catalina
2713,Ilocos Sur,Santa Cruz
2712,Ilocos Sur,Santa Lucia
2705,Ilocos Sur,Santa Maria
2707,Ilocos Sur,Santiago
2729,Ilocos Sur,Santo Domingo
2719,Ilocos Sur,Sicay
2733,Ilocos Sur,Sinait
2717,Ilocos Sur,Sugpon
2715,Ilocos Sur,Suyo
2714,Ilocos Sur,Tagudin
2700,Ilocos Sur,Vigan
2504,La Union,Agoo
2503,La Union,Aringay
2515,La Union,Bacnotan
2512,La Union,Bagulin
2517,La Union,Balaoan
2519,La Union,Bangar
2501,La Union,Bauang
2510,La Union,Burgos
2502,La Union,Caba
2507,La Union,Damortis
2518,La Union,Luna
2511,La Union,Naguilian
2508,La Union,Pugo
2506,La Union,Rosario
2500,La Union,San Fernando
2513,La Union,San Gabriel
2514,La Union,San Juan
2516,La Union,Santol
2505,La Union,Sto. Tomas
2520,La Union,Sudepen
2509,La Union,Tubao
2408,Pangasinan,Agno
2415,Pangasinan,aguilar
2404,Pangasinan,Alaminos
2425,Pangasinan,Alcala
2405,Pangasinan,Anda
2439,Pangasinan,Asingan
2442,Pangasinan,Balungao
2407,Pangasinan,Bani
2422,Pangasinan,Basista
2424,Pangasinan,Bautista
2423,Pangasinan,Bayambang
2436,Pangasinan,Binalonan
2417,Pangasinan,Binmaley
2406,Pangasinan,Bolinao
2416,Pangasinan,Bugallon
2410,Pangasinan,Burgos
2418,Pangasinan,Calasiao
2400,Pangasinan,Dagupan
2411,Pangasinan,Dasol
2412,Pangasinan,Infanta
2402,Pangasinan,Labrador
2437,Pangasinan,Laoac
2401,Pangasinan,Lingayen
2409,Pangasinan,Mabini
2421,Pangasinan,Malasiqui
2430,Pangasinan,Manaoag
2432,Pangasinan,mangaldan
2413,Pangasinan,Mangatarem
2429,Pangasinan,Mapandan
2446,Pangasinan,Natividad
2435,Pangasinan,Pozorrubio
2441,Pangasinan,Riosales
2420,Pangasinan,San Carlos
2433,Pangasinan,San Fabian
2431,Pangasinan,San Jacinto
2438,Pangasinan,San Manuel
2447,Pangasinan,San Nicolas
2444,Pangasinan,San Quintin
2434,Pangasinan,Sison
2419,Pangasinan,Sta. Barbara
2440,Pangasinan,Sta. Maria
2426,Pangasinan,Sto. Tomas
2403,Pangasinan,Sual
2445,Pangasinan,Tayug
2443,Pangasinan,Umingan
2414,Pangasinan,Urbiztondo
2428,Pangasinan,Urdaneta
2427,Pangasinan,Villasis
3900,Batanes,Basco
3905,Batanes,Itbayat
3902,Batanes,Ivana
3901,Batanes,Mahatao
3904,Batanes,Sabtang
3903,Batanes,Uyugan
3515,Cagayan,Abulog
3507,Cagayan,Alcala
3523,Cagayan,Allacapan
3505,Cagayan,Amulung
3515,Cagayan,Aparri
3506,Cagayan,Baggao
3516,Cagayan,Ballesteros
3511,Cagayan,Buguey
3520,Cagayan,Calayan
3510,Cagayan,Camalaniugan
3519,Cagayan,Claveria
3501,Cagayan,Enrile
3508,Cagayan,Gattaran
3513,Cagayan,Gonzaga
3504,Cagayan,Iguig
3509,Cagayan,Lal-lo
3524,Cagayan,Lasam
3522,Cagayan,Pamplona
3502,Cagayan,Peñablanca
3527,Cagayan,Piat
3526,Cagayan,Rizal
3518,Cagayan,Sanchez Mira
3503,Cagayan,Solana
3514,Cagayan,Sta. Ana
3521,Cagayan,Sta. Praxedes
3512,Cagayan,Sta. Teresita
3525,Cagayan,Sto. Niño
3528,Cagayan,Tuao
3500,Cagayan,Tuguegarao
3306,Isabela,Alicia
3307,Isabela,Angadanan
3316,Isabela,Aurora
3331,Isabela,Benito Soliven
3322,Isabela,Burgos
3328,Isabela,Cabagan
3315,Isabela,Cabatuan
3305,Isabela,Cauayan
3312,Isabela,Cordon
3326,Isabela,Delfin Albano
3336,Isabela,Dinapigui
3335,Isabela,Divilacan
3309,Isabela,Echague
3301,Isabela,Gamu
3330,Isabela,Ilagan
3313,Isabela,Jones
3304,Isabela,Luna
3333,Isabela,Maconacon
3323,Isabela,Mallig
3302,Isabela,Naguillan
3334,Isabela,Palanan
3324,Isabela,Quezon
3321,Isabela,Quirino
3319,Isabela,Ramon
3303,Isabela,Reina Mercedes
3320,Isabela,Roxas
3314,Isabela,San Agustin
3308,Isabela,San Guillermo
3310,Isabela,San Isidro
3332,Isabela,San Mariano
3318,Isabela,San Mateo
3317,Isabela,San Miguel (Callang)
3329,Isabela,San Pablo
3311,Isabela,Santiago
3330,Isabela,Sta. Maria
3327,Isabela,Sto. Tomas
3325,Isabela,Tamauini
3714,Nueva Vizcaya,Alfonso Castañeda
3701,Nueva Vizcaya,Ambaguio
3704,Nueva Vizcaya,Aritao
3711,Nueva Vizcaya,Bagabag
3702,Nueva Vizcaya,Bambang
3700,Nueva Vizcaya,Bayombong
3712,Nueva Vizcaya,Diadi
3706,Nueva Vizcaya,Dupax del Norte
3707,Nueva Vizcaya,Dupax del Sur
3703,Nueva Vizcaya,kasibu
3708,Nueva Vizcaya,Kayapa
3713,Nueva Vizcaya,quezon
3709,Nueva Vizcaya,Solano
3705,Nueva Vizcaya,Sta. Fe (Imugan)
3710,Nueva Vizcaya,Villa Verde (Ibung)
3403,Quirino,Aglipay
3400,Quirino,Cabarriguis
3401,Quirino,Diffun
3404,Quirino,Maddela
3405,Quirino,Nagtipunan (Abbag)
3402,Quirino,Saguday
3200,Aurora,Baler
3204,Aurora,Casiguran
3205,Aurora,Dilasag
3206,Aurora,Dinalungan
3207,Aurora,Dingalan
3203,Aurora,Dipaculao
3202,Aurora,Maria Aurora
3201,Aurora,San Luis
2114,Bataan,Abucay
2107,Bataan,Bagac
2100,Bataan,Balanga
2106,Bataan,Batann Export Processing Zone
2110,Bataan,Dinalupihan
2111,Bataan,Hermosa
2104,Bataan,Lamao
2103,Bataan,Limay
2105,Bataan,Mariveles
2108,Bataan,Morong
2112,Bataan,Orani
2102,Bataan,Orion
2101,Bataan,Pilar
2109,Bataan,Refugee Processing Center (Mor
2113,Bataan,Samal
3012,Bulacan,Angat
3016,Bulacan,Balagtas
3006,Bulacan,Baliuag
3018,Bulacan,Bocaue
3017,Bulacan,Bulacan
3007,Bulacan,Bustos
3003,Bulacan,Calumpit
3009,Bulacan,Doña Remedios Trinidad
3015,Bulacan,Guiguinto
3002,Bulacan,Hagonoy
3000,Bulacan,Malolos
3019,Bulacan,Marilao
3020,Bulacan,Meycauayan
3013,Bulacan,Norzagaray
3021,Bulacan,Obando
3014,Bulacan,Pandi
3001,Bulacan,Paombong
3004,Bulacan,Plaridel
3005,Bulacan,Pulilan
3010,Bulacan,San Ildefonso
3023,Bulacan,San Jose Del Monte
3011,Bulacan,San Miguel
3008,Bulacan,San Rafael
3024,Bulacan,Sapang Palay
3022,Bulacan,Sta. Maria
3111,Nueva Ecija,Aliaga
3128,Nueva Ecija,Bongabon
3100,Nueva Ecija,Cabanatuan
3107,Nueva Ecija,Cabiao
3123,Nueva Ecija,Carrangalan
3120,Nueva Ecija,Central Luzon State University
3117,Nueva Ecija,Cuyapo
3130,Nueva Ecija,Fort Magsaysay
3131,Nueva Ecija,Gabaldon
3105,Nueva Ecija,Gapan
3125,Nueva Ecija,Gen. M. Natividad
3104,Nueva Ecija,Gen. Tinio
3115,Nueva Ecija,Guimba
3109,Nueva Ecija,Jaen
3129,Nueva Ecija,Laur
3112,Nueva Ecija,Licab
3126,Nueva Ecija,Llanera
3122,Nueva Ecija,Lupao
3119,Nueva Ecija,Munñoz
3116,Nueva Ecija,Nampicuan
3132,Nueva Ecija,Palayan
3124,Nueva Ecija,Pantabangan
3103,Nueva Ecija,Peñaranda
3113,Nueva Ecija,Quezon
3127,Nueva Ecija,Rizal
3108,Nueva Ecija,San antonio
3106,Nueva Ecija,San Isidro
3121,Nueva Ecija,San Jose
3102,Nueva Ecija,San Leonardo
3101,Nueva Ecija,Sta. Rosa
3133,Nueva Ecija,Sto. Domingo
3114,Nueva Ecija,Talavera
3118,Nueva Ecija,Talugtog
3110,Nueva Ecija,Zaragoza
2009,Pampanga,Angeles
2016,Pampanga,Apalit
2012,Pampanga,Arayat
2001,Pampanga,Bacolor
2007,Pampanga,Basa airbase
2013,Pampanga,Candaba
2006,Pampanga,Floridablanca
2003,Pampanga,Guagua
2005,Pampanga,Lubao
2010,Pampanga,Mabalacat
2018,Pampanga,Macabebe
2011,Pampanga,Magalang
2017,Pampanga,Masantol
2021,Pampanga,Mexico
2019,Pampanga,Minalin
2008,Pampanga,Porac
2000,Pampanga,San Fernando
2014,Pampanga,San Luis
2015,Pampanga,San simon
2004,Pampanga,Sexmoan
2022,Pampanga,Sta. Ana
2002,Pampanga,Sta. Rita
2020,Pampanga,Sto. Tomas
2310,Tarlac,Anao
2317,Tarlac,Bamnab
2306,Tarlac,Camiling
2315,Tarlac,Capas
2316,Tarlac,Concepcion
2302,Tarlac,Gerona
2314,Tarlac,La Paz
2304,Tarlac,Mayantoc
2308,Tarlac,Moncada
2307,Tarlac,Paniqui
2312,Tarlac,Pura
2311,Tarlac,Ramos
2305,Tarlac,San Clemente
2309,Tarlac,San Manuel
2301,Tarlac,San Miguel
2303,Tarlac,Sta. Ignacia
2300,Tarlac,Tarlac
2313,Tarlac,Victoria
2202,Zambales,Botolan
2203,Zambales,Cabangan
2212,Zambales,Candelaria
2208,Zambales,Castillejos
2201,Zambales,Iba
2211,Zambales,Masinloc
2200,Zambales,Olongapo
2210,Zambales,Palauig
2206,Zambales,San Antonio
2204,Zambales,San Felipi
2207,Zambales,San Marcelino
2205,Zambales,San Narciso
2213,Zambales,Sta. Cruz
2209,Zambales,Subic
4211,Batangas,Agoncillo
4205,Batangas,Alitagtag
4213,Batangas,Balayan
4219,Batangas,Balite
4200,Batangas,Batangas
4201,Batangas,Bauan
4212,Batangas,Calaca
4215,Batangas,Calatagan
4222,Batangas,Cuenca
4218,Batangas,Fernando Airbase
4230,Batangas,Ibaan
4221,Batangas,Laurel
4209,Batangas,Lemery
4216,Batangas,Lian
4217,Batangas,Lipa
4229,Batangas,Lobo
4202,Batangas,Mabini
4233,Batangas,Malvar
4223,Batangas,Mataas na Kahoy
4231,Batangas,Nasugbu
4224,Batangas,Padre Garcia
