bl_code,name,quantity
EL0101010000A,Moda & Styling Color 0/0,181
EL0101010001A,Moda & Styling Color 1,138
EL0101010003A,Moda & Styling Color 3,238
EL0101010004A,Moda & Styling Color 4,214
EL0101010005A,Moda & Styling Color 5,211
EL0101010006A,Moda & Styling Color 6,120
EL0101010007A,Moda & Styling Color 7,120
EL0101010008A,Moda & Styling Color 8,132
EL0101010009A,Moda & Styling Color 9,130
EL0101010010A,Moda & Styling Color 10,124
EL0101010043A,Moda & Styling Color 4/3,67
EL0101010046A,Moda & Styling Color 4/6,106
EL0101010047A,Moda & Styling Color 4/7,102
EL0101010051A,Moda & Styling Color 5/1,91
EL0101010053A,Moda & Styling Color 5/3,65
EL0101010055A,Moda & Styling Color 5/5,65
EL0101010056A,Moda & Styling Color 5/6,97
EL0101010061A,Moda & Styling Color 6/1,83
EL0101010063A,Moda & Styling Color 6/3,51
EL0101010064A,Moda & Styling Color 6/4,59
EL0101010065A,Moda & Styling Color 6/5,48
EL0101010067A,Moda & Styling Color 6/7,99
EL0101010071A,Moda & Styling Color 7/1,66
EL0101010073A,Moda & Styling Color 7/3,31
EL0101010079A,Moda & Styling Color 7/9,110
EL0101010081A,Moda & Styling Color 8/1,75
EL0101010089A,Moda & Styling Color 8/9,106
EL0101010091A,Moda & Styling Color 9/1,89
EL0101010099A,Moda & Styling Color 9/9,116
EL0101010101A,Moda & Styling Color 10/1,65
EL0101010102A,Moda & Styling Color 10/2,63
EL0101010111A,Moda & Styling Color 1/11,139
EL0101010112A,Moda & Styling Color 11/2,66
EL0101010485A,Moda & Styling Color 4/85,106
EL0101010500A,Moda & Styling Color 5/00,141
EL0101010511A,Moda & Styling Color 5/11,132
EL0101010555A,Moda & Styling Color 5/555,69
EL0101010556A,Moda & Styling Color 5/56,91
EL0101010581A,Moda & Styling Color 5/81,97
EL0101010585A,Moda & Styling Color 5/85,99
EL0101010600A,Moda & Styling Color 6/00,137
EL0101010611A,Moda & Styling Color 6/11,142
EL0101010655A,Moda & Styling Color 6/55,104
EL0101010657A,Moda & Styling Color 6/57,83
