bl_code,name,quantity
CG70419,2030,0
CG81443,Happy Holiglaze Dash of Dazzle 3pc Set,73
CG70634,100 Proof Pink,0
CG80702,108 Degrees,0
CG70836,120pc Empty Rack,0
CG81183,12pc Best Selling Core Rack 2012,0
CG80722,12pc Core Display,0
CG77041,144pc Core Rack,0
CG77043,144pc Core Rack DBP Free 2012,0
CG77068,144pc Core Wire Rack DBP Free,0
CG77072,"144pc Empty Rack, Black (includes Header)",0
CG77075,"144pc Empty Rack, Black (includes Header)",0
CG80805,2NITE,0
CG81184,36pc Best Selling Core Rack 2012,0
CG80725,36pc Core Rack,0
CG77040,480pc Core Rack,0
CG77044,480pc Core Rack DBP Free 2012,0
CG77067,480pc Core Wire Rack DBP Free,0
CG77070,"480pc Empty Rack, Black (includes Header)",0
CG77073,"48pc Empty Treatment Rack, Silver (includes Header)",0
CG77069,"48pc Treatment Rack, Black (replaces 77079)",0
CG77079,"48pc Treatment Rack, Silver (replaces 71847)",0
CG82135,"4pc Kit: Includes 1 of each .5 oz: Getting to Gnaw You, But of Corpse, Rest in Pieces, Don't Let the Dead Bite",0
CG28871,5 Golden Rings,0
CG77078,744pc Empty Floor Stand,0
CG77085,744pc Empty Floor Stand,0
CG81091,744pc Floor Stand,0
CG81209,744pc Floor Stand Merchandiser 2012,0
CG77071,"80pc Empty Treatment Rack, Silver (includes Header)",0
CG80212,Admire,0
CG80209,Adore,62
CG80498,Adventure Red-y,37
CG70697,Afterglow,7
CG80896,Agent Lavender,0
CG80619,Agro,71
CG80966,Ahoy!,0
CG81535,All A Flutter,1
CG81868,All Aboard 12pc Display with 12pc backup (total 24pcs),0
CG81869,All Aboard 12pc Display with 24pc backup (total 36pcs),0
CG81867,All Aboard 12pc in 12pc Display,14
CG81864,"All Aboard! - All Aboard! 6pc Set, Includes: Don't Get Derailed, Choo-Choo Choose You, All Aboard!, Conduct Yourself, Lug Your Designer Baggage, What Are You A-Freight Of",0
CG81865,"All Aboard! - Loco-Motive 6pc Set, Includes: Nice Caboose!, Mind the Gap, Well Trained, One Track Mind, Loco-Motive, Stop That Train!   ",0
CG81853,All Aboard!,61
CG81394,All Wrapped Up,168
CG81248,Altered Reality,0
CG81256,Aluminate,0
CG70287,Always A Bridesmaid,0
CG81113,Always A Lady,241
CG70427,An Affair to Remember,2
CG80985,Anchors Away  Sand & Sea 6pc Box,0
CG80986,Anchors Away 12 pcs counter display,0
CG80988,Anchors Away 36 pcs with rack,0
CG80983,"Anchors Away 4pc Mini, Includes: White Cap, First Mate, Ahoy! and Hey Sailor",0
CG80984,Anchors Away Knotty Nauticals 6pc Box Collection,0
CG80651,Angel Wings,64
CG81097,Angel's Breath,226
CG70891,Anklets of Amethysts,5
CG70281,Aqua Baby,295
CG80737,Aquadelic,8
CG81326,Are You Jelly?,28
CG81158,Astro-Hot,71
CG81765,At Vase Value,82
CG80861,Atellier Tulle,0
CG80406,Atlantis,23
CG80605,Attraction,14
CG70381,Australian Alabaster,0
CG81382,Autumn Nights 12pc Display with 12pc backup (total 24pcs),0
CG81383,Autumn Nights 12pc Display with 24pc backup (total 36pcs),0
CG81381,Autumn Nights 12pc in 12pc Display,0
CG81385,Autumn Nights 36pc Prepack,0
CG81384,Autumn Nights 36pc Rack,0
CG81379,"Autumn Nights Gossip Over Gimlets 6pc Set, Includes: Gossip Over Gimlets, Kiss My Glass, Public Relations, Queen B, Charmed, I'm Sure and Rendezvous With You",0
CG81378,"Autumn Nights Strike Up A Cosmo 6pc Set, Includes: Strike Up A Cosmo, Red-y & Willing, Don’t Make Me Wine, Scandalous Shenanigans, Tongue & Chic and Goldie But Goodie",0
CG77030,Avalanche,1
CG81204,Avant Garden 12pc Display,0
CG81207,Avant Garden 12pc Display with 24pc backup (total 36pcs),0
CG81205,Avant Garden 24pc in 12pc Display,0
CG81297,Avant Garden 36pc Display,0
CG81206,Avant Garden 36pc Prepack,0
CG81202,"Avant Garden Blooming Brights 6pc Set, Includes: Dandy Lyin' Around, Keep Calm, Paint On, Fade Into Hue, Tart-y For The Party, Pink-ie Promise & Life Is Rosy",0
CG81201,"Avant Garden Pastel Petals 6pc Set, Includes: Budding Romance, Sunday Funday, Fancy Pants, Snap My Dragon, Passion For Petals & Mimosas Before Manis",0
CG80208,Awaken,1
CG72050,Awakening,12
CG70529,Aztec Orange,56
CG81041,"Baby It's Cold Outside 4pc Set, Includes: Icicle, Blue Years Eve, Poinsettia+ 1 Fingerless Gloves FREE",0
CG80389,Bad Kitty,3
CG70344,Bad Landing,3
CG80878,Bahama Blues 12pc Display,0
CG80876,Bahama Blues 6pc Box Collection,0
CG80877,Bahama Blues 6pc Display,0
CG80875,Bahamian Escape,10
CGCGX158,Bali Bliss,0
CG70285,Ball N' Chain,0
CG70621,Bare If You Dare,7
CGCGT406,Barefoot Beauty,0
CGCGT100,Barefoot In The Park,0
CG70647,Bashful,0
CG81491,Bat My Eyes,46
CG81116,BCA United In Purpose 12pc Display( w/ Backup),0
CG81393,Be Merry Be Bright,92
CG81791,Be More Pacific,42
CG80439,Beach Cruise-R,14
CG70254,Beatnik,0
CG70622,Beauty & the Beach,7
CG81110,Beauty Within,117
CGCGX2217,Beige Chiffon,0
CG81035,Belle Of The Ball 3pc Set,12
CG81397,Bells Will Be Blinging,99
CG80973,Below Deck,0
CG81128,Bend Over Backwards,66
CG80871,Bermuda Breakaway,1
CG81037,Berry Sweet Holiday 3pc Set,26
CG70819,Best Selling 12 pcs counter display,0
CG71854,Best Selling 36 pcs with rack,0
CG70870,Best Selling Core Rack 2007/2008 12pc,0
CG70874,Best Selling Core Rack 2007/2008 36pc,0
CG80585,Beyond Baroque,18
CG80803,BFF,0
CG80906,B-Girlz,1
CG70328,Bing Cherry,9
CG80784,Bizarre Blurple,77
CG77029,Black Diamond,86
CG81053,Black Mesh,100
CG81235,Bling It On,163
CG70680,Blissful,0
CG72042,Blk-Bila-Bong,0
CG80769,Blonde Bombshell,0
CG80653,Blue Bells Ring,1
CG80403,Blue Hawaiian,3
CG80704,Blue Iguana,64
CG80873,Blue Island Iced Tea,2
CG80872,Blue Paradise,0
CG80840,Blue Sparrow,0
CGCGX162,Blue w/o You,0
CG80521,Blue Year's Eve,71
CG72137,BLUSH 12pc Display,0
CG72136,BLUSH 6pc Box Collection,0
CG72141,BLUSH Trio - Afterglow,0
CG72139,BLUSH Trio - Inner Beauty,0
CG72140,BLUSH Trio - Linger,0
CG70642,Blushing,0
CG80508,Bogie,67
CG70511,Bohemian Chic,0
CG70547,Bohemian Rhapsody,0
CG81142,Bond-tastic,22
CG81492,Boo-Gie Down,87
CG81321,Bottoms Up,83
CG82273,Boundary Of Memory,0
CG80879,Branding Iron,0
CG80911,Breakin,74
CG28883,"Breast Cancer Awareness 3pc Set,  Includes: Sexy Lady, Exceptionally Gifted and Diva Bride",0
CGCGX112,Breathless,0
CG80416,Bridezilla,2
CG81960,"Bringing in the Season 3pc Set: Includes 1 of each .5 oz: Define Good…, Dancing & Prancing, No Peeking! + Pouchette FREE",0
CG81055,Broken Hearted,49
CG81071,Brownstone,0
CG80689,"Brrr... It's Chilly 4pc Set, Includes: With Love, Angel Wings, Pure Joy and 1 Mini Snow Globe FREE",21
CG80418,Bubbly,12
CG81193,Budding Romance,1
CG80532,Built For Speed,34
CG81281,Bump & Grind,7
CG81494,Bump In The Night,629
CG70331,Burnt Buns,15
CG82124,But of Corpse,0
CG25371,"Buy 2 Get 1 Free (Snow, Frostbite and Scarlet)",4
CG25370,"Buy 2 Get 1 Free (White on White, Bridezilla and First and Last)",0
CG.B40G6,"Buy 40, Get 6",0
CG.B40RCK,"Buy 40, Get A Rack FREE",0
CG.B50G8,"Buy 50, Get 8",0
CG28898,Buy Two Polishes get one free,0
CG28900,Buy Two Polishes get one free,0
CG80925,C_C_Courage,7
CG70377,Café Mystique,0
CG81002,Calcium Gel Fortifier,34
CG72015,Calcium Gel Fortifier Prof. Refill,0
CG80499,Call Of The Wild,45
CG80870,Calypso Blue,0
CG70329,Camisole,55
CG80387,Candie,0
CG70650,Candlelight,0
CG82280,Capacity To See Beyond,0
CG70536,Cappuccino,0
CG80874,Caribbean Blue,0
CG70542,Caribbean Temptation,6
CG80391,Carnival Lights,0
CG82141,Carpe Diem,0
CG28930,Carry Me Away for the Holidays Gift Set,36
CG70308,Cashmere Creme,60
CG80783,Cast A Spell,0
CG81952,"Cause For Celebration 3pc Set: Includes 1 of each .5 oz: Chillin' With My Snow-Mies, Tip Your Hat and Meet Me Under The Stars",0
CG25090,"Celebrate In Style Holiday Set, Includes: Little Drummer Boy, Peace On Earth, Mommy Kissing Santa, Jingle Bells + 1 Necklace FREE",0
CG80845,Celtic Sun,21
MCG000011,CG 2011 Holiday Catalog,0
90_0441,CG 2011 Portfolio,0
MCG000001,CG Black Eco Bag,0
MCG000002,CG Blush Poster,0
MCG000005,CG Catalog Colour Chart,0
90_2295,CG Colour Chart 2011,0
MCG000007,CG Folder Mariana Faces,0
CG81066,CG in the City,0
CG28881,CG Loves You Snow Much Holiday 12pc Display,0
CG28880,CG Loves You Snow Much Holiday 36pc Rack,0
CG28882,"CG Loves You Snow Much Holiday 4pc Promo Set, Includes: 1 each 0.5oz Tinsel, Ruby Pumps, Emerald Sparkle and Golden Rings",0
MCG000004,CG Mariana Faces,0
MCG000003,CG Names Flyer,0
MCG000008,CG Paper Bag by BL,0
MCG000009,CG Polish Drop Flyer,0
MCG000010,CG Polka Dots Eco Bag,0
MCG000006,CG Window Decal,0
MCG000012,CG Wooden Tray by BL,0
CG80705,Cha Cha Cha,0
CG80514,Champagne Bubbles,64
CG80648,Champagne Kisses,0
CG70244,Channelesque,0
CG81357,"Charmed, I'm Sure",1
CG70779,Chatroom Rendevouz,1
CG70696,Cheek To Cheek,0
CG25174,Cheers To You,0
CG25089,"Cheers To You Holiday 3pc Set, Includes: Midnight Kiss, Cheers To You + 1 Shot Glass FREE",0
CG80693,Cheers! 3pc Set,2
CG80210,Cherish,0
CG80567,Cherry Blossoms,122
CG70313,Cherry Crystal,1
CG80222,Cherry Pie,12
CG70256,Chiaroscuro,16
CG81936,Chillin' With My Snow-mies,0
CG7053,China Rain,0
CG77011,China Rouge,51
CGCGS522,Choco-Chocolate,0
CG70898,Chocodisiac,0
CG81852,Choo-Choo-Choose You,57
CGCGT417,Chroma-toes,0
CG80587,Citrus Twist,150
CG81772,City Flourish 12pc Display,1
CG81773,City Flourish 12pc Display with 12pc backup (total 24pcs),0
CG81774,City Flourish 12pc Display with 24pc backup (total 36pcs),0
CG81819,City Flourish 3pc Set,22
CG81769,"City Flourish Peonies & Park Ave. 6pc Set, Includes: Peonies & Park Ave., Petal to the Metal, Spring In My Step, In a Lilly Bit, Lotus Begin and At Vase Value",42
CG81770,"City Flourish Pollen In Love 6pc Set, Includes: Thistle Do Nicely, Strike a Rose, Don't Honk Your Thorn, What a Pansy, Grass is Lime-greener & Metro Pollen-tin",0
CG81069,City Siren,164
CG80504,Classic Camel,183
CG80395,Cleopatra,71
CG80601,Cling On,2
CGCGX138,Cloud Burst,0
CG80386,Cloud Nine,8
CG70626,Coconut Kiss,69
CG80892,Code Orange,0
CG72405,Color Wheel 6pk,0
CG72400,Colorwheel Clip Strip,0
90_0888,Colour Chart,0
90_0894,Colour Chart,0
CG82274,Community,0
CG81074,Concrete Catwalk,37
CG81855,Conduct Yourself,33
CG81145,Con-fused?,22
CG70366,Conga to my Cabana,1
CGCGX2208,Copacabana,0
CG70346,Coral Star,0
CG80310,Cords,0
CG77083,Core Colors 144 pcs with rack,0
CG77082,Core Colors 480 pcs with rack,0
CG80399,Cosmic,3
CG81295,Cosmic Dust,96
CG70531,Cotton Candy,0
