bl_code,name,quantity
BB11R10,Açai Brazilian Dry Oil,48
BB11R13,Açai Flexible Molding Clay Wax,0
BB11R02,Acai Anti Frizz Conditioner,453
BB11R01,Acai Anti Frizz Shampoo,361
BB11R03,Acai Daily Smoothing Serum,703
BB11R04,Acai Deep Conditioning Masque,548
BB11R08,Acai Instant Volume Thermal Root Lift,110
BB11P05,Acai Professional Anti Residue Shampoo,347
BB11P06,Acai Professional Smoothing Solution,1
BB11P66,Acai Professional Smoothing Solution_ZERO,45
BB11R07,Acai Protective Thermal Straightening Balm,245
BB11R05,Acai Restorative Sculpt & Define Polish,98
BB11R06,Acai Shine & Shield Spray Shine,225
BASIC,Basic,0
BB,Basic Blowout,0
BBZERO,Basic Blowout Zero,0
BBZEROPLUS,Basic Blowout Zero Plus,0
BSC2013_Cash,Basic Original,0
BSC2013_Terms,Basic Original,0
BZERO,Basic Zero,0
BSCZ2013_Cash,Basic Zero Plus,0
BSCZ2013_Terms,Basic Zero Plus,0
BZEROPLUS,Basic Zero Plus,0
BB11M60,BB Boar Bristle Brush,0
BBBLBROCH1,BB Brochure1 BL,0
BBBLBROCH2,BB Brochure2 BL,0
BB11M61,BB Cape,0
BBBLCAPE,BB Cape BL,0
MBB000008,BB Easel Card by BL,0
MBB000009,BB Easel Card from US,0
MBB000001,BB Eco Bag,0
BB11M62,BB Hair Clips,0
MBB000002,BB Original Catalog from US,0
MBB000012,BB Original Post Card,0
MBB000011,BB Paper Bag by BL,0
MBB000010,BB Paper Bag from US,0
MBB000015,BB Shirt Female,0
MBB000016,BB Shirt Male,0
MBB000014,BB Tarpaulin,0
BB11V24,BB Volume Shelf Talker,0
MBB000006,BB Window Decal Large,0
MBB000007,BB Window Decal Small,0
MBB000003,BB Zero Catalog by BL,0
MBB000005,BB Zero Catalog from US,0
MBB000004,BB Zero Easel Card from US,0
MBB000017,BB Zero Post Card,0
MBB000013,BB Zero Step by Step,0
BLWT12013_Cash,Blowout 1 Original,0
BLWT12013_Terms,Blowout 1 Original,0
BLWT1Z2013_Terms,Blowout 1 Zero,0
BLWT1Z2013_Cash,Blowout 1 Zero Plus,0
BLWT22013_Cash,Blowout 2 Original,0
BLWT22013_Terms,Blowout 2 Original,0
BLWT2Z2013_Cash,Blowout 2 Zero Plus,0
BLWT2Z2013_Terms,Blowout 2 Zero Plus,0
BLWT32013_Cash,Blowout 3 Original,0
BLWT32013_Terms,Blowout 3 Original,0
BLWT3Z2013_Cash,Blowout 3 Zero Plus,0
BLWT3Z2013_Terms,Blowout 3 Zero Plus,0
BBM,Brazilian Blowout Mini,16
BB11P76,Brazilian Blowout Zero Plus Solution (12oz),120
BB11P66ZEROPLUS,Brazilian Blowout Zero Plus Solution (34oz),78
BB11M24,Brochures BB,0
BB11M24-1,Brochures BB,0
BNDLE12013_Cash,Bundle 1 Original,0
BNDLE12013_Terms,Bundle 1 Original,0
BNDLE1Z2013_Cash,Bundle 1 Zero Plus,0
BNDLE1Z2013_Terms,Bundle 1 Zero Plus,0
BNDLE22013_Cash,Bundle 2 Original,0
BNDLE22013_Terms,Bundle 2 Original,0
BNDLE2Z2013_Cash,Bundle 2 Zero Plus,0
BNDLE2Z2013_Terms,Bundle 2 Zero Plus,0
BB1,Bundle Blowout 1,0
BB1ZERO,Bundle Blowout 1 Zero,0
BB1ZEROPLUS,Bundle Blowout 1 Zero Plus,0
BB2,Bundle Blowout 2,0
BB2ZERO,Bundle Blowout 2 Zero,0
BB2ZEROPLUS,Bundle Blowout 2 Zero Plus,0
BB11X23,Care Shelf Talker ,0
BB11M20,Celebrity Easel Card 1,0
BB11M09,Celebrity Easel Card 2,0
BB.CLSC1,CLASSIC 1 (1 Solution 1L 1 Anti-Res Shampoo 1L),0
BBCL1.1,CLASSIC 1 (1 Solution 1L 1 Anti-Res Shampoo 1L),0
BBCL1.2,testing,0
BBCL2.2C,CLASSIC 2 (1 Solution 1L 1 Anti-Res Shampoo 1L 1 Masque 24oz),0
BBCL2.2T,CLASSIC 2 (1 Solution 1L 1 Anti-Res Shampoo 1L 1 Masque 24oz),0
BBCL2.1C,CLASSIC 2 (1 Solution 1L 1 Anti-Res Shampoo 1L 3 Masque Tubes 8oz),0
BBCL2.1T,CLASSIC 2 (1 Solution 1L 1 Anti-Res Shampoo 1L 3 Masque Tubes 8oz),0
BBCL2.4C,CLASSIC 2 (3 Solution 12oz 1 Anti-Res Shampoo 1L 1 Masque 24oz),0
BBCL2.4T,CLASSIC 2 (3 Solution 12oz 1 Anti-Res Shampoo 1L 1 Masque 24oz),0
BBCL2.3C,CLASSIC 2 (3 Solution 12oz 1 Anti-Res Shampoo 1L 3 Masque Tubes 8oz),0
BBCL2.3T,CLASSIC 2 (3 Solution 12oz 1 Anti-Res Shampoo 1L 3 Masque Tubes 8oz),0
BBCL3.2C,CLASSIC 3 (1 Solution 1L 1 Anti-Res Shampoo 1L 1 Masque 24oz 2 S&S 4oz 1 Serum 8oz),0
BBCL3.2T,CLASSIC 3 (1 Solution 1L 1 Anti-Res Shampoo 1L 1 Masque 24oz 2 S&S 4oz 1 Serum 8oz),0
BBCL3.1C,CLASSIC 3 (1 Solution 1L 1 Anti-Res Shampoo 1L 3 Masque Tubes 8oz 2 S&S 4oz 1 Serum 8oz),0
BBCL3.1T,CLASSIC 3 (1 Solution 1L 1 Anti-Res Shampoo 1L 3 Masque Tubes 8oz 2 S&S 4oz 1 Serum 8oz),0
BBCL3.4C,CLASSIC 3 (3 Solution 12oz 1 Anti-Res Shampoo 1L 1 Masque 24oz 2 S&S 4oz 1 Serum 8oz),0
BBCL3.4T,CLASSIC 3 (3 Solution 12oz 1 Anti-Res Shampoo 1L 1 Masque 24oz 2 S&S 4oz 1 Serum 8oz),0
BBCL3.3C,CLASSIC 3 (3 Solution 12oz 1 Anti-Res Shampoo 1L 3 Masque Tubes 8oz 2 S&S 4oz 1 Serum 8oz),0
BBCL3.3T,CLASSIC 3 (3 Solution 12oz 1 Anti-Res Shampoo 1L 3 Masque Tubes 8oz 2 S&S 4oz 1 Serum 8oz),0
BB11M15-1,Client Post Card 1,0
BB11M15,Client Post Card 1 (10pk),0
BB11M25-1,Client Post Card 2,0
BB11M25,Client Post Card 2 (10pk),0
BB11M47,Comb/Brush Applicator,0
BB11P44,Deep Conditioning Masque,318
GRAND,Grand,0
GRAND A,GRAND A,0
GZERO,Grand Zero,0
GZEROPLUS,Grand Zero Plus,0
BB11M400,Hanging Banner BB,0
