bl_code,name,quantity
CEE3218,Hair Blower (NEO BLACK),2
CE7210,Trolley (JAZZ BLACK),2
CRTI000011,Hair Blower (CHAMPION CATALOGUE),3
CE9928-1,Be_One 2 Drawers White Green,4
CE9926-1,Be_One 3 Drawers White Green or Black,5
CEE3217,Hair Blower (GO UP IONIC BLACK),5
CEE3214,Hair Blower (LIGHT 3500 BLACK),5
CE7216,Trolley (EASY BLACK),5
CE9926-4,Be_One 3 Drawers Black Fucsia,6
CEE3216-B,Hair Blower (IDOL BUTTERFLY BLACK),6
CE7214-2,Be_One 6 Drawers White Violet,7
CE7214-4,Be_One 6 Drawers Black Violet,10
CRTI000009,Hair Blower (ULTRA LIGHT 4200 BLACK),11
CEE3212,Hair Blower (DJ 3600 BLACK),12
CEE3216-T,Hair Blower (IDOL BUTTERFLY TURQUOISE),12
CEE3210,Hair Blower (IDOL 2900 BLACK),18
CEE3219-G,Hair Blower (LINE UP GREEN),23
CEE3216-P,Hair Blower (IDOL BUTTERFLY VIOLET),36
CEE3221,Hair Blower (ZERO GREEN),53
CRTI000031,Be_One 2 Drawers White Violet,12
