bl_code,name,quantity
74506,Coarse Foot File Pro Nickel CH-804,0
74507,Dual Sided Foot File Pro Nickel CH-824,1
CHFDSFF601,Fine Dual Side Foot File CH-601,0
CHFDSFF602,Fine Dual Side Foot File CH-602,2
CHTFFC404,Foot & Callus File Coarse CH-404,0
CHFCFN702,Foot & Callus File Nickel CH-702,0
CHFFF800,Foot File Fine CH-800,4
CHFFF900,Foot File Fine CH-900,1
74512,Foot Friend Socks,0
74505,Medium Foot File Pro Nickel CH-802,0
74509,Medium Foot File Pro Titanica CH-902,0
CHPFFC404,Pro Foot File Coarse CH-404,0
CHTFFC904,Pro Titanica Foot File Coarse CH-904,1
CHTFFC924,Pro Titanica Foot File Fine CH-924,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
