bl_code,name,quantity
05T060,0_60 TOPCOAT,0
05T6060,0_60 TOPCOAT,0
05TP060,0_60 TOPCOAT,0
05DT120,120PC TREATMENT DISPLAY,0
05DCCGEN12A,12PC CLASSIC TABLETOP DISPLAY,0
05DCCGEN12B,12PC TRENDY TABLETOP DISPLAY,0
05DCC360,360PC DISPLAY,0
05D48RETA,48PC WALL DISPLAY,0
05D90RETA,90PC WALL DISPLAY,0
05D936,936PC DISPLAY,0
05A792,A Warm Place,3
05A841,After Hours,6
05AN04,Age of Aquarius,0
05MN04,AGE OF AQUARIUS,0
05A912,Alias,3
05DF7A,ALL ABOUT FRENCH 7PC PREPACK A (inc. Milky White),3
05DF7B,ALL ABOUT FRENCH 7PC PREPACK B (inc. Milky White),0
05DCCFR7A,ALL ABOUT FRENCH 7PC PREPACK C (no treatment),0
05DF36,ALL ABOUT FRENCH HATBOX DISPLAY 36PC,0
05DF72,ALL ABOUT FRENCH HATBOX DISPLAY 72PC,0
05A102,All About Town,1
05C113,All Dolled Up,6
05AN22,All That Razz,1
05MN22,ALL THAT RAZZ,0
05A047,All_Over Pink,2
05A348,Almond Nude,3
05AN06,Almost Famous,0
05MN06,ALMOST FAMOUS,0
05A909,Alter Ego,10
05DCCAE27,ALTER EGO 27PC,0
05DCCAE27L,ALTER EGO 27PC WITH LIPGLOSS,0
05DCCAE54,ALTER EGO 54 PC,0
05DCCAE7K,ALTER EGO 7PC KEEP IT UNDER COVER,1
05DCCAE7R,ALTER EGO 7PC REVEAL YOUR MYSTERY,1
05A769,Angels N Pink,4
05A928,Antiquated,1
05PSGEN84,APPLE,0
05C038,Aqua,0
05PSGENA08,AQUA,0
05PSGEN17,AQUA CRUSHED SHELL,0
05PSGEN63,AQUA HOLOGRAM FLOWERS,0
05PSGEN54,AQUA HOLOGRAM HEARTS,26
05PSGEN74,AQUA HOLOGRAM STARS,0
05PSGEN12,AQUA ICE,30
05PSGEN25,AQUA SAND,0
05DAC18_1,Art Club 18pc Display,0
05DAC18_2,Art Club 18pc Display,0
DP_AC18,Art Club 18pc Display,0
MCC000001,Art Club Glam Flyer,0
MCC000003,Art Club Nail Art Catalog Big,0
MCC000004,Art Club Nail Art Catalog Small,0
MCC000002,Art Club Nail Art Flyer,0
MCC000005,Art Club Techni Color Doll Flyer,0
MCC000006,Art Club Ultra-Lux Glamour Flyer,0
05DWEDDING,Art from the Heart Kit,7
05A845,Art of Seduction,2
05A924,Artsy Crafty,0
05A936,Au Revoir!,5
05C051,Azure,10
05A075,Babe,0
05C114,Baby Blue,2
05DBP12,BACKSTAGE 12pc DISPLAY,0
05DBP54,BACKSTAGE 54pc DISPLAY,0
05DBP7,BACKSTAGE 7PC PREPACK,1
05A947,Backstage Pass,1
05A419,Ballerina Pink,0
05PSGEN86,BANANA,0
05A407,Be Bold,0
05A882,Best Dressed List,2
05DM4AAF,BEST OF THE BEST,4
05DM4HB,BEWITCHING HALLOWEEN KIT,0
ABM5257,Beyond the Mistletoe,13
05C002,Black,2
05PSGENA10,BLACK,0
05PGEMG04,BLACK & WHITE GEMS,0
05PDGEN12,BLACK DECALS,0
05C048,Black Hologram,4
05PSGEN67,BLACK HOLOGRAM FLOWERS,0
05PSGEN58,BLACK HOLOGRAM HEARTS,35
05PSGEN78,BLACK HOLOGRAM STARS,35
05PSGEN48,BLACK RAINBOW HEARTS,36
05PSGEN39,BLACK RAINBOW STARS,27
05PDGEG03,"BLACK, WHITE & BLING",1
05PDGEGXL2,"BLACK, WHITE & BLING",0
05A813,Black_ish,4
05PDGEN13,BLANC DECALS,0
NA5343,Blue Chrome,2
05C029,Blue Glitter,17
05C109,Blue Hologram,0
05PSGEN62,BLUE HOLOGRAM FLOWERS,0
05PSGEN53,BLUE HOLOGRAM HEARTS,0
05PSGEN73,BLUE HOLOGRAM STARS,28
05PSGEN44,BLUE RAINBOW HEARTS,33
05PSGEN35,BLUE RAINBOW STARS,0
05A925,Blue_Topia,0
05DCCBB12,BOHO 12PC,0
05DCCBB27,BOHO 27PC,0
05DCCBB54,BOHO 54 PC,0
05DCCBB7A,BOHO 7PC COLLECTION A,0
05DCCBB7B,BOHO 7PC COLLECTION B,0
05A921,Boho Mojo,3
05PSGEN15,BONE CRUSHED SHELL,0
05PSGEN31,BONE WHITE CRUSHED SHELL,0
05A938,Bonjour Girl,5
05DACBD,Boudoir Kit,4
05DBRIGHTS,Brights_Striper Kit,0
05AFX02,Broken Tokens (Silver),21
05C023,Bronze,5
05PSGENA03,BRONZE,0
05A828,Brrr red,0
05A756,Buff & Natural,1
05A115,Cadillac Red,0
05A304,Campfire Red,3
ABM5254,Candy Cane,11
05A821,Candy Girl,1
05M821,CANDY GIRL,0
05A767,Catwalk,3
05A860,Catwalk Queen,4
05DCCWQ27,Catwalk Queen 27Pc,0
05DCCWQ7,Catwalk Queen 7pc Prepack,2
MCC000007,CC All About Color Catalog (Boho),0
MCC000008,CC All About Color Catalog (Trend Alert),0
MCC000009,CC Catwalk Queen Flyer,0
MCC000010,CC Femme Fatale Flyer,0
05A827,CC Frostbite,7
MCC000011,CC Paper Bag by BL,0
MCC000012,CC Salon Manicure Catalog,0
MCC000013,CC Treatments Catalog,0
MCC000014,CC Wicked Sweet Flyer,0
05A883,Charity Ball,4
05AN14,Chelsea Girl,0
05MN14,CHELSEA GIRL,0
05T6CHIP,CHIP FREE PRE_BASE,0
05TCHIP,CHIP FREE PRE_BASE,6
05TPCHIP,CHIP FREE PRE_BASE,0
05DCHROME,Chromes_Striper Kit,0
05AFX04,Clean Break (White),104
05A108,CLUB CLEAR,1
05A929,Cold Metal,0
05DM4CC,COLORS FOR THE CURE,7
05A777,Cool Breeze,4
NA5335,Copper Chrome,3
05C070,Copper Glitter,14
05CC5422,Copycat,0
05DCC06,COPYCOATS 6PC PREPACK,0
05A753,Coral Cascade,1
05C076,Cosmic Creature,23
05A902,Covered In Diamonds,0
05C077,Creme de Razzberry,15
05AFX05,Crush on You (Fuschia),2
05C018,Crystal Glitter,2
05T6CUTICLE,CUTICLE SOOTHE,0
05TCUTICLE,CUTICLE SOOTHE,6
05TPCUTICLE,CUTICLE SOOTHE,12
05A940,Dance for France,4
05DDM27,DANCE MUSIQUE 27PC,0
05DDM27L,DANCE MUSIQUE 27PC LIP,0
05DDM54,DANCE MUSIQUE 54PC,0
05DDM7,DANCE MUSIQUE 7PC,1
05DM4DR,DARK ROMANCE,2
05DMDDR,DARK ROMANCE DISPLAY,0
05A029,Day Dream,3
05A896,De_Luxe_Cious,0
05M896,DE_LUXE_CIOUS,1
05CC5417,Dead Ringer,0
05PDGEG01,DIAMOND STUDDED,30
05PDGEGXL4,DIAMOND STUDDED,0
05AN24,Disco Dress,0
05MN24,DISCO DRESS,0
05A809,Diva Driver,15
05A380,Divine Secret,7
05A389,Dreamin,11
05T6DRYICE,DRY ICE DROPS,0
05TDRYICE,DRY ICE DROPS,1
05TPDRYICE,DRY ICE DROPS,6
05CC5416,Duplicity,0
05A916,Earthy Angel,1
05DM7EC,Eco_Chic  7 Pc Fall,2
05DM7SP,Eco_Chic  7 Pc Spring,0
05METOT,Eco_Chic Over The Top Topcoat,11
05METUB,Eco_Chic Undercoat Eco-Base,11
05AN09,Edie,0
05MN09,EDIE,0
05A934,Eiffel Tower Power,13
05C075,Electric Universe,11
