bl_code,name,quantity
CR01011,CR01011,1
CR10111-B,CR10111-B,5
CR10111-P,CR10111-P,5
CR17310,CR17310,1
CR03910-X,CR03910-X,0
CR03910,CR03910,10
CR03911-B,CR03911-B,5
CR03911-G,CR03911-G,9
CR03911-O,CR03911-O,2
CR03911-P,CR03911-P,4
CR03911-Y,CR03911-Y,0
CR03912,CR03912,19
CR03912-B,CR03912-B,4
CR03912-G,CR03912-G,7
CR03912-O,CR03912-O,7
CR03912-P,CR03912-P,7
CR03912-Y,CR03912-Y,0
CR08837,CR08837,51
CR08810,CR08810,0
CR08811-B,CR08811-B,0
CR08811-G,CR08811-G,0
CR08811-O,CR08811-O,0
CR08811-P,CR08811-P,0
CR08811-Y,CR08811-Y,0
CR08812-B,CR08812-B,2
CR08812-G,CR08812-G,2
CR08812-O,CR08812-O,8
CR08812-P,CR08812-P,6
CR08812-Y,CR08812-Y,2
CR008837,CR008837,0
CR08811,CR08811,0
CR08812,CR08812,10
CR023230,CR023230,4
CR23230,CR23230,11
CR02513,CR02513,0
CR02510,CR02510,4
CR002420,CR002420,0
CR02420,CR02420,0
CR01012,CR01012,23
CR01511,CR01511,0
CR01012-B,CR01012-B,2
CR01012-G,CR01012-G,4
CR01012-O,CR01012-O,0
CR01012-P,CR01012-P,3
CR01012-Y,CR01012-Y,0
CR01010,CR01010,0
CR19712,CR19712,80
CR197712,CR197712,0
CR05931,CR05931,10
CR05011,CR05011,21
CR086337,CR086337,0
CR06011,CR06011,24
CR06010,CR06010,24
CR06062-B,CR06062-B,10
CR06062-G,CR06062-G,10
CR06062-O,CR06062-O,8
CR06062-P,CR06062-P,4
CR06062-Y,CR06062-Y,9
CR86337,CR86337,109
CR11011,CR11011,1
CR10511,CR10511,3
CR11012,CR11012,0
CR10516,CR10516,2
CR11017,CR11017,2
CR10517,CR10517,3
CR11018,CR11018,11
CR11010,CR11010,0
CR10010,CR10010,3
CR11015,CR11015,0
CR10515,CR10515,0
CR10562,CR10562,0
CR10518,CR10518,4
CR10510,CR10510,9
CR25710,CR25710,12
CR11016,CR11016,7
CR10512,CR10512,0
CR12611-B,CR12611-B,0
CR12611-G,CR12611-G,0
CR12611-O,CR12611-O,0
CR12611-P,CR12611-P,0
CR12611-Y,CR12611-Y,0
CR12612-B,CR12612-B,9
CR12612-G,CR12612-G,8
CR12612-O,CR12612-O,7
CR12612-P,CR12612-P,8
CR12612-Y,CR12612-Y,8
CR022630,CR022630,0
CR22630,CR22630,11
CR16214,CR16214,30
CR16214-B,CR16214-B,10
CR16214-G,CR16214-G,0
CR16214-O,CR16214-O,10
CR16214-P,CR16214-P,0
CR16214-Y,CR16214-Y,0
CR16213-B,CR16213-B,10
CR16213-G,CR16213-G,10
CR16213-O,CR16213-O,11
CR16213-P,CR16213-P,11
CR16213-Y,CR16213-Y,0
CR03911,CR03911,8
CR03937,CR03937,0
CR03837,CR03837,0
CR03811-B,CR03811-B,1
CR03811-G,CR03811-G,6
CR03811-P,CR03811-P,4
CR03811-Y,CR03811-Y,0
CR03410,CR03410,34
CR03451,CR03451,12
CR03450,CR03450,20
CR03812,CR03812,40
CR03812-B,CR03812-B,1
CR03812-G,CR03812-G,14
CR03812-O,CR03812-O,12
CR03812-P,CR03812-P,0
CR03812-Y,CR03812-Y,4
CR20010,CR20010,0
CR022430,CR022430,9
CR022830,CR022830,0
CR22830,CR22830,19
CR22430,CR22430,0
CR03010,CR03010,0
CR03011-B,CR03011-B,0
CR03011-G,CR03011-G,0
CR03011-O,CR03011-O,0
CR03011-P,CR03011-P,0
