bl_code,name,quantity
EL0158010003,EL0158010003,16
EL0158010037,EL0158010037,66
EL0158010004,EL0158010004,36
EL0158014CHO,EL0158014CHO,20
EL0158010005,EL0158010005,31
EL0158010051,EL0158010051,35
EL0158010053,EL0158010053,25
EL0158010054,EL0158010054,45
EL0158010055,EL0158010055,56
EL0158010677,EL0158010677,56
EL01580105MK,EL01580105MK,16
EL0158015CHO,EL0158015CHO,32
EL0158010006,EL0158010006,0
EL0158010061,EL0158010061,17
EL0158010063,EL0158010063,29
EL0158010064,EL0158010064,58
EL0158010655,EL0158010655,47
EL01580106MK,EL01580106MK,35
EL0158016CHO,EL0158016CHO,32
EL0158010007,EL0158010007,29
EL0158010071,EL0158010071,30
EL0158010073,EL0158010073,37
EL0158010744,EL0158010744,55
EL0158010008,EL0158010008,47
EL0158010009,EL0158010009,53
EL5200340000,EL5200340000,0
EL5300250000,EL5300250000,12
EL1409010300A,EL1409010300A,0
EL5909010003,EL5909010003,0
EL1709060100,EL1709060100,12
EL1609040200,EL1609040200,12
EL1709030100A,EL1709030100A,12
EL1709050100,EL1709050100,12
EL1309010150A,EL1309010150A,12
EL1609030300A,EL1609030300A,12
EL1609020300A,EL1609020300A,24
EL1709010125A,EL1709010125A,24
EL1709020005,EL1709020005,100
EL1309030075,EL1309030075,12
EL1209010500A,EL1209010500A,12
EL1509010075,EL1509010075,12
EL1509020005,EL1509020005,100
EL1609010200A,EL1609010200A,12
EL1709040100A,EL1709040100A,12
EL1109020015,EL1109020015,100
EL1109020200A,EL1109020200A,12
EL1309020200A,EL1309020200A,12
EL.AMPL. BR.01,EL.AMPL. BR.01,0
EL5973010003,EL5973010003,0
ELBLAMPL-BR01,ELBLAMPL-BR01,0
EL0717020250,EL0717020250,12
EL1117010075,EL1117010075,12
EL0917010200,EL0917010200,12
EL.APR.01,EL.APR.01,0
EL5100370000,EL5100370000,0
ELBLAPRN.01,ELBLAPRN.01,0
EL1523030010,EL1523030010,30
EL1523030100,EL1523030100,0
EL5900970000,EL5900970000,0
EL0712010250,EL0712010250,12
EL1512010125,EL1512010125,12
EL0712020250,EL0712020250,12
EL.BBOOK.01,EL.BBOOK.01,0
ELBLBRNDBK-01,ELBLBRNDBK-01,0
EL5923010008A,EL5923010008A,0
EL.CAT.01,EL.CAT.01,0
EL5602280002,EL5602280002,0
ELBLCAT-01,ELBLCAT-01,0
EL5602280002C,EL5602280002C,0
EL5200370000,EL5200370000,0
EL5210010000,EL5210010000,0
EL.CFIX.GUIDE.01,EL.CFIX.GUIDE.01,0
ELBLCFIXGUI-01,ELBLCFIXGUI-01,0
EL1007040500,EL1007040500,265
EL1807140250,EL1807140250,475
EL0707101000,EL0707101000,174
EL1807120010,EL1807120010,100
EL1807120100,EL1807120100,12
EL1807110030,EL1807110030,17
EL0707050010,EL0707050010,0
EL0707050300,EL0707050300,12
EL0707051000,EL0707051000,0
EL0907020300,EL0907020300,24
EL1807080005,EL1807080005,12
EL0707060010,EL0707060010,29
EL0707060300,EL0707060300,6
EL0707061000,EL0707061000,6
EL0707070010,EL0707070010,58
EL1807130300,EL1807130300,12
EL1007020010,EL1007020010,77
EL0707040010,EL0707040010,0
EL0707040300,EL0707040300,6
EL0707041000,EL0707041000,6
EL1007020500,EL1007020500,12
EL0907040010,EL0907040010,99
EL0907040300,EL0907040300,12
EL0707080010,EL0707080010,100
EL0707080300,EL0707080300,6
EL0707081000,EL0707081000,12
EL1807090010,EL1807090010,87
EL1807090100,EL1807090100,44
EL1807100010,EL1807100010,92
EL1807100100,EL1807100100,12
EL1007030200,EL1007030200,6
EL5907010002,EL5907010002,0
EL.CAPE.01,EL.CAPE.01,0
EL5000400000,EL5000400000,0
ELBLCAPE-01,ELBLCAPE-01,0
EL0405070150,EL0405070150,16
EL0405030025,EL0405030025,0
EL0405030050,EL0405030050,37
EL0405030500,EL0405030500,33
EL0405020025,EL0405020025,0
EL0405020050,EL0405020050,35
EL0405020500,EL0405020500,32
EL0405060025,EL0405060025,0
EL0405060050,EL0405060050,0
EL0405060500,EL0405060500,25
EL0405050025,EL0405050025,0
EL0405010025,EL0405010025,0
EL0405110500,EL0405110500,44
EL0405120050,EL0405120050,71
EL.SCALE.01,EL.SCALE.01,977
EL5400340002,EL5400340002,0
ELBLSCALE-01,ELBLSCALE-01,0
EL5708010055,EL5708010055,0
EL5602450003,EL5602450003,0
EL5923010011B,EL5923010011B,0
EL5100430005,EL5100430005,0
EL5959010005,EL5959010005,0
EL5659010003,EL5659010003,0
EL5959010006,EL5959010006,0
EL5923010013,EL5923010013,0
ELTSHIRT.L01,ELTSHIRT.L01,0
ELTSHIRT.M01,ELTSHIRT.M01,0
EL5623010019,EL5623010019,0
