bl_code,name,quantity
FBAB-01,FBAB-01,80
FBAP2,FBAP2,0
FBTW-AB,FBTW-AB,33
FB.BSC1,FB.BSC1,0
FBBCS,FBBCS,0
FBCE,FBCE,0
FBEB02,FBEB02,0
FBCMC,FBCMC,0
FBCCEM,FBCCEM,38
FBCCS,FBCCS,0
FBCM,FBCM,26
FBCM-02,FBCM-02,0
FBCM-03,FBCM-03,0
FBEP01,FBEP01,604
FBCCB100,FBCCB100,445
FBTW-DB,FBTW-DB,3
FB.KB-1,FB.KB-1,0
FBDLB.10,FBDLB.10,0
FBCOMBR,FBCOMBR,1597
FBCOMBR20,FBCOMBR20,0
FBEMCRP,FBEMCRP,47
FBEEK,FBEEK,0
FBEPB,FBEPB,0
FBTWB01,FBTWB01,0
FB-278,FB-278,0
FBTWS01,FBTWS01,0
FBEFM,FBEFM,65
FBLFLT50,FBLFLT50,0
FBAGRE16,FBAGRE16,0
FBGR01,FBGR01,91
FBGT-02,FBGT-02,55
FBGT02.100,FBGT02.100,0
FBGT02.20,FBGT02.20,55
FBTYPE4.20,FBTYPE4.20,0
FBJS,FBJS,9
FBLP,FBLP,11
FBLFHLDR,FBLFHLDR,0
FB437825739,FB437825739,0
FBMG81006,FBMG81006,169
FBMUCB,FBMUCB,0
FBMB,FBMB,0
FBDLB,FBDLB,429
FBDLB.20,FBDLB.20,10
FBSD-2003_m,FBSD-2003_m,0
FBSD-2003-20,FBSD-2003-20,10
FBSD-2003,FBSD-2003,164
FBBMB,FBBMB,7
FBMPMBS,FBMPMBS,0
FBMPMSB,FBMPMSB,0
FBMPMSP,FBMPMSP,0
FBMPMSR,FBMPMSR,1
FBB6-10,FBB6-10,30
FBB6-12,FBB6-12,30
FBB6-8,FBB6-8,30
FBB7-10,FBB7-10,30
FBB7-11,FBB7-11,30
FBB7-12,FBB7-12,30
FBB7-13,FBB7-13,30
FBB7-7,FBB7-7,30
FBB7-8,FBB7-8,30
FBB7-9,FBB7-9,30
FBB18-10,FBB18-10,50
FBB18-11,FBB18-11,50
FBB18-12,FBB18-12,50
FBB18-8,FBB18-8,50
FBB18-9,FBB18-9,50
FBC6-10,FBC6-10,30
FBC6-11,FBC6-11,29
FBC6-12,FBC6-12,30
FBC6-8,FBC6-8,30
FBC6-9,FBC6-9,30
FBC7-10,FBC7-10,30
FBC7-11,FBC7-11,30
FBC7-12,FBC7-12,30
FBC7-13,FBC7-13,30
FBC7-7,FBC7-7,30
FBC7-8,FBC7-8,30
FBC7-9,FBC7-9,30
FBC18-10,FBC18-10,49
FBC18-11,FBC18-11,50
FBC18-12,FBC18-12,50
FBC18-8,FBC18-8,50
FBC18-9,FBC18-9,50
FBD6-10,FBD6-10,29
FBD6-12,FBD6-12,30
FBD6-8,FBD6-8,30
FBD7-10,FBD7-10,30
FBD7-11,FBD7-11,30
FBD7-12,FBD7-12,30
FBD7-13,FBD7-13,30
FBD7-7,FBD7-7,30
FBD7-8,FBD7-8,30
FBD7-9,FBD7-9,30
FBD18-10,FBD18-10,50
FBD18-11,FBD18-11,50
FBD18-12,FBD18-12,50
FBD18-8,FBD18-8,50
FBD18-9,FBD18-9,50
FBJ6-10,FBJ6-10,30
FBJ6-12,FBJ6-12,30
FBJ6-8,FBJ6-8,30
FBJ7-10,FBJ7-10,30
FBJ7-11,FBJ7-11,30
FBJ7-12,FBJ7-12,30
FBJ7-13,FBJ7-13,30
FBJ7-7,FBJ7-7,30
FBJ7-8,FBJ7-8,30
FBJ7-9,FBJ7-9,30
FBJ18-10,FBJ18-10,50
FBJ18-11,FBJ18-11,50
FBJ18-12,FBJ18-12,50
FBJ18-8,FBJ18-8,50
FBJ18-9,FBJ18-9,50
FBB20-10,FBB20-10,37
FBB20-11,FBB20-11,46
FBB20-12,FBB20-12,40
FBB20-13,FBB20-13,0
FBB20-14,FBB20-14,0
FBB20-15,FBB20-15,0
FBB20-7,FBB20-7,0
FBB20-8,FBB20-8,45
FBB20-9,FBB20-9,0
FBB10-10,FBB10-10,48
FBB10-11,FBB10-11,48
FBB10-12,FBB10-12,48
FBB10-13,FBB10-13,48
FBB10-14,FBB10-14,0
FBB10-15,FBB10-15,0
FBB10-7,FBB10-7,0
FBB10-8,FBB10-8,18
FBB10-9,FBB10-9,47
FBB15-11,FBB15-11,39
FBB15-13,FBB15-13,75
FBB15-14,FBB15-14,0
FBB15-15,FBB15-15,48
FBC10-10,FBC10-10,42
FBC10-11,FBC10-11,46
FBC10-13,FBC10-13,48
FBC10-14,FBC10-14,0
FBC10-15,FBC10-15,0
FBC10-7,FBC10-7,0
FBC10-8,FBC10-8,0
FBC10-9,FBC10-9,38
FBC20-10,FBC20-10,64
FBC20-11,FBC20-11,35
FBC20-12,FBC20-12,67
FBC20-13,FBC20-13,49
FBC20-14,FBC20-14,30
FBC20-15,FBC20-15,0
FBC20-7,FBC20-7,0
FBC20-8,FBC20-8,30
FBC20-9,FBC20-9,0
FBC10-12,FBC10-12,18
FBC15-10,FBC15-10,24
FBC15-11,FBC15-11,24
FBC15-12,FBC15-12,22
FBC15-13,FBC15-13,58
FBC15-14,FBC15-14,0
