bl_code,name,quantity
301-1200-2,Adapter 12v 220v,0
FFECFB,Easel Card(Foam Board),0
GG.BRSTPKG.C,BRAZILIAN WAXING STARTER PACKAGE,0
GG.BRSTPKG.T,BRAZILIAN WAXING STARTER PACKAGE,0
GG.MBK.C,Mini Brazilian Kit BL,0
GG.MBK.T,Mini Brazilian Kit BL,0
GG00790,Epilating Lotion Pre Pack,0
GG0100CE,Pro 1 Kit,0
GG0100CE.C,PRO 1 Kit (220V),0
GG0100CE.T,PRO 1 Kit (220V),0
GG0120.C,All Purpose Microwave Kit,3
GG0125.C,Sugar Bare Microwave Kit,4
GG0130,Ready to Use Cold Kit Formula,0
GG0135.C,Creme Wax Microwave Kit,1
GG0140CE,Mini Pro Kit,0
GG0168.C,Soy Natural Microwave Kit,0
GG0207,Soy Natural Botanical (Plastic Jar),0
GG0225.C,Wax Warmer (110v) Europe Plug,6
GG0225CE,Wax Warmer (220v) Europe Plug,120
GG0240,Tea Tree Creme Wax,0
GG0250.C,Tweezeless Wax,21
GG0251,Milk Chocolate Creme Wax,1
GG0252,Espresso All Purpose Honee,71
GG0255.C,Tweezeless Wax Microwave Formula,17
GG0260,Creme Wax,0
GG0261,Honee Wax Refill Large 3 pk,0
GG0262,Honee Wax Refill Small 3 pk,34
GG0263,Tea Tree Creme Wax Refill Large pk,0
GG0264,Tea Tree Creme Wax Refill Small pk,14
GG0266,Honee Wax Refill Medium pk,26
GG0267,Tea Tree Creme Wax Refill Medium pk,15
GG0268,Roller Head Fine 3 pk,14
GG0269,Roller Head Small 3 pk,11
GG0270,Roller Head Medium 3 pk,3
GG0271,Roller Head Large 3 pk,0
GG0272,Speed Waxer Roll_On Waxing System,3
GG0273,Tea Tree Creme Wax Refill Large pk,4
GG0274,Speed Waxer Roll_On Waxing System,0
GG0288,Organic Milk & Honee Wax,4
GG0288.320.C,Organic Milk & Honee Wax BUY 3 GET 20% OFF,0
GG0288.425.C,Organic Milk & Honee Wax BUY 4 GET 25% OFF,0
GG0300,Facial Honee,18
GG0305,Dark Honee,14
