bl_code,name,quantity
61001,Shaper Maker,8
61002,Shaper Maker Traveller,0
61003,Aqua Wax,3
61004,Wax Pomade,2
61005,Clay Wax,3
61006,Clay Wax Traveller,0
61007,Aqua Wax Hard,0
61008,Fibre Paste,2
61009,Fibre Hard,2
61011,Power Dust,10
61012,Day Two Styler Dry Shampoo,1
61013,Extreme Extra Firm Hairspray,11
61014,Thermal Defense,2
61015,Blowdry Potion,6
61016,Curl Fluid,1
61042,Blinding Shine Shampoo,2
61044,Blinding Shine Conditioner,2
61046,Blinding Shine Illuminating Finisher,2
61053,Deep Moisturising Shampoo,2
61055,Deep Moisturising Conditioner,2
61065,Extreme Volume Shampoo,1
61067,Extreme Volume Conditioner,1
61069,Extreme Volume Root Lifter,1
61076,Colour Mission Vibrance Mask,3
71035,Colour Mission Shampoo,1
61010,Corruptor,1
