bl_code,name,quantity
NAD-40,10-pc Nail Color Display w/ Stem,0
LED-4,12W LED Lamp,0
NAD-24,32-pc Nail Art Display w/ Stand,0
NM-18211,3D Nail Art Mold,147
NP-18441,3D Nail Art Pen Set,0
UVBI,9W Induction Bulb for UV Lamps,0
ACT-13,Acetone,0
BRA1.2C,Acrylic Brush #2,0
BRA1.4C,Acrylic Brush #4,0
BRA1.6C,Acrylic Brush #6,0
AB-16331,Acrylic Brush no. 2,0
AB-16332,Acrylic Brush no. 4,0
AB-16333,Acrylic Brush no. 6,0
AB-16334,Acrylic Brush Set,0
BRAS1.C,"Acrylic Brush Set w/ Size 2, 4, 6, 8, 10, 12",0
AD-10211,Acrylic Display,0
AD-10212,Acrylic Display,0
AD-10213,Acrylic Display,0
AD-10214,Acrylic Display,0
AD-10215,Acrylic Display Round,0
AD-10216,Acrylic Display Round,0
AD-10217,Acrylic Display Wall Display,0
AD-10218,Acrylic Display Wall Display,0
SS-ANTDCC,Acrylic Nail Tips Deep C Curve,0
HC1.C,Alligator Clip 10pk,6
AF-0533,Aluminum Foil,0
SSHD-107,Angled Flat Iron,0
AP-0822-1,Apron,0
AP-0822-2,Apron,0
HB-0704-1,Bamboo Brush,0
HB-0704-2,Bamboo Brush,0
HB-0740,Bamboo Brush,0
HB-0740-3,Bamboo Brush,0
FF-07403,Bamboo Foot File,0
SFF7.C,Bamboo Foot File,1617
FF-07403-1,Bamboo Foot File (10pcs. + 2 Free),0
BRBM1.C,Bamboo Hair Brush,1818
BRBM2.C,Bamboo Hair Brush,1780
BRBM3.C,Bamboo Hair Brush,1934
BRBM4.C,Bamboo Hair Brush,1828
BTHS1,Bath Set,1673
LP-200016,Bendable Lamp,26
BRR2.C,Boar Bristle Brush 20mm Dia.,975
BRR3.C,Boar Bristle Brush 24mm Dia.,952
BRR1.C,Boar Bristle Brush w/ Metal Core,986
BFB1.C,Buffer Block,603
BFB2.C,Buffer Block,17
BFB3.C,Buffer Block,71
BFB4.C,Buffer Block,74
BFB5.C,Buffer Block,28
BFB7.C,Buffer Block,0
BFB8.C,Buffer Block,20
BFB10,Buffer Block 3-sided,203
BFB9.C,Buffer Block 3-sided,212
BFB6.C,Buffer Block 3-sided 5pk,452
CC-0422,Cape,0
CC-0430,Cape,0
CC-0822,Cape,0
CC-0822-1,Cape,0
CC-0822-2,Cape,0
CC-0823,Cape,0
CMB1.C,Carbon Comb,849
CMB2.C,Carbon Comb,875
CMB3.C,Carbon Comb,937
HC-06221,Carbon Comb,0
HC-06221-1,Carbon Comb,0
HC-06221-2,Carbon Comb,0
HC-06221-3,Carbon Comb,0
HC-06221-4,Carbon Comb,0
CMB4.C,Carbon Comb w/ Handle,970
HB-06221,Carbon Hair Brush,0
HB-06231,Carbon Hair Brush,0
HB-06221PK3,Carbon Hair Brush (3pcs/pack),0
HB-06231PK3,Carbon Hair Brush (3pcs/pack),0
TCMB1.C,Carbon Tail Comb,968
CER1,Ceramic Jar for Acrylic Solution,0
CISD10,CISD10 Flat Iron,7
CISD24,CISD24 Flat Iron,1
JAR1.C,Cream Jar,0
CL-06222,Crocodile Clips Black,0
CL-06302,Crocodile Clips Purple,0
CST-12,Cuticle Softener,0
CC1.C,Cutting Cape,751
CC2.C,Cutting Cape,810
CC3.C,Cutting Cape,15
CC4.C,Cutting Cape,27
CC5.C,Cutting Cape,60
CC6.C,Cutting Cape,15
CL-06373,Cutting Clips,0
CL-06443,Cutting Clips,0
CVS100,CVS100 Flat Iron,164
LMP10.C,Desk Lamp,0
LMP11.C,Desk Lamp,0
LMP12.C,Desk Lamp,0
LMP13.C,Desk Lamp,4
LMP14.C,Desk Lamp,1
LMP15.C,Desk Lamp,0
LMP4.C,Desk Lamp,0
LMP5.C,Desk Lamp,0
LMP6.C,Desk Lamp,0
