bl_code,name,quantity
82505,Surgi Invisi-Bleach Bleaching Cream,496
82500,Surgi-Cream Brow Shapers  (14 strips),112
82565,Surgi-Cream Extra Gentle for Face,192
82501,Surgi-Cream for Bikini & Leg,173
82502,Surgi-Cream Regular for Face,163
82516,Surgi-Wax Assorted Maple Honey Facial Wax  (16 strips)  ,227
82563,Surgi-Wax Brazilian Kit ,156
82503,Surgi-Wax for Body & Legs,176
82504,Surgi-Wax for Face,114
82518,Surgi-Wax Honey Body Wax Strips  (14 strips),190
82586,Surgi-Wax Large Wax Refill,208
82585,Surgi-Wax Small Wax Refill  ,216
82582I,Surgi-Wax Total Body & Face Roll-On Waxer  (220V),72
