bl_code,name,quantity
MBB000008,BB Easel Card by BL,1
MBB000009,BB Easel Card from US,1
BB11M62,BB Hair Clips,2
MBB000010,BB Paper Bag from US,10
MBB000006,BB Window Decal Large,1
MBB000007,BB Window Decal Small,1
BBCL1.2,CLASSIC 1 (3 Solution 12oz  1 Anti-Res Shampoo 1L),3
BBCL3.4C,CLASSIC 3 (3 Solution 12oz  1 Anti-Res Shampoo 1L  1 Masque 24oz  2 S&S 4oz  1 Serum 8oz),1
BBCL3.3C,CLASSIC 3 (3 Solution 12oz  1 Anti-Res Shampoo 1L  3 Masque Tubes 8oz  2 S&S 4oz  1 Serum 8oz),1
BBCL3.3T,CLASSIC 3 (3 Solution 12oz  1 Anti-Res Shampoo 1L  3 Masque Tubes 8oz  2 S&S 4oz  1 Serum 8oz),1
BB11M63,Stylist Handheld BB Mirror,1
BBBLTEE-M01,T-shirt Men,10
CG77074,Empty Rack 36pc with Header,1
CGLZ000004,Magnetix II Magnet,3
CGLZ000003,Magnetix Magnet,1
CG70260,Salsa,1
CR086337,Cuticle Nipper Chromium Diabetic,1
EL5200340000,10 Minute Color Color Chart,1
EL5100370000,Apron (Elgon),6
ELBLAPRN.01,Apron BL,4
EL5000400000,Cutting Cape (Elgon),6
ELBLCAPE-01,Cutting Cape BL,4
EL5200300012,Moda & Styling Color Chart Salon Size,1
ELBLBWL-01,Plastic Tinting Bowl BL,2
EL.TMR.01,Timer (Elgon BL),1
ELBLBRSH-01,Tinting Brush BL,2
GG0240,Tea Tree Creme Wax,10
GGPRO2.C,PRO 2 KIT BL,1
MGG000006,Gigi Easel Card by BL,30
FBAGRE16,Gel Remover,1
FBC10-8,Mink Eyelash Extensions 12 lines Tray C-curl   0.10*8mm,1
FB.PRM1,Premium Kit,1
FBPRIME-A,Primer,1
FBG03,Sensitive Glue,1
HB-0740,Bamboo Brush,1
FF-07403,Bamboo Foot File,40
CC-0822,Cape,14
CL-06302,Crocodile Clips Purple,1
DB-0122,Dust Brush,8
EC-0621,Ear Caps,2
FR-0427,Flex Benders,1
MB-0142-1,Manicure Bowl,20
BR-01282,Manicure Brush,20
BR-01292,Manicure Brush,10
BF-01231,Nail Block,40
BF-01311,Nail Block,2
OS-0135,Orange Stick (100pcs/pack),1
OS-0135-1,Orange Stick (100pcs/pack),2
PB-01231-1,Pump Bottle,2
PB-01232,Pump Bottle,10
RB-04354,Roller Brush,1
RB-04354-1,Roller Brush,3
TB-08221,Tinting Brush with Comb,5
WS-0135,Wooden Spatula,100
TYD-NF-02376-4,3pack Nail File,1
TYD-NF-02376-9,3pack Nail File,1
TYD-NF-02375-1,6pack Nail File,1
TYD-NF-02375-6,6pack Nail File,1
TYD-CO-01272,Cuticle Oil,2
TYD-CO-01284,Cuticle Oil,30
TYD-CO-01301,Cuticle Oil,1
TYD-NF-03314,Nail File Crescent 180/180,40
TYD-NF-03251,Nail File Oval 100/100,40
TYD-OS-0135PK6,Orange Stick (6pcs/pack),3
TYD-TS-023106,Toe Separator Big Flower,2
TYD-TS-02259,Toe Separator Cat,2
TYD-TS-02228,Toe Separator Dog,2
TYD-TS-02303,Toe Separator Tulips,20
TYD-TW-0737,Tweezer,10
